Wieland;Charles Brockden Brown;Science fiction and fantasy
The Age of Innocence;Edith Wharton;Love
La Bete Humaine;Emile Zola;State of the nation
Little Dorritt;Charles Dickens;State of the nation
The Haunting of Hill House;Shirley Jackson;Science fiction and fantasy
The Girls of Slender Means;Muriel Spark;Comedy
Perfume;Patrick Suskind;Crime
And Then There Were None;Agatha Christie;Crime
Nightwood;Djuna Barnes;Love
Moo;Jane Smiley;Comedy
American Pastoral;Philip Roth;State of the nation
Penrod;Booth Tarkington;Comedy
No Bed for Bacon;Caryl Brahms and SJ Simon;Comedy
The Wings of the Dove;Henry James;Love
The Master and Margarita;Mikhail Bulgakov;Science fiction and fantasy
The Madman of Bergerac;Georges Simenon;Crime
A Rage in Harlem;Chester Himes;Crime
Tropic of Ruislip;Leslie Thomas;Comedy
Jonathan Strange & Mr Norrell;Susanna Clarke;Science fiction and fantasy
Fortunes of War;Olivia Manning;War and travel
Strait is the Gate;Andre Gide;Love
Bouvard et Pécuchet;Gustave Flaubert;Comedy
Hard Revolution;George Pelecanos;Crime
The Mandarins;Simone de Beauvoir;Family and self
My Antonia;Willa Cather;Love
Queen Lucia;EF Benson;Comedy
Tess of the D’Urbervilles;Thomas Hardy;Love
The Ordeal of Richard Feverek;George Meredith;Family and self
The Butcher Boy;Patrick McCabe;Science fiction and fantasy
The Golden Notebook;Doris Lessing;Family and self
News from Nowhere;William Morris;Science fiction and fantasy
Fair Stood the Wind for France;HE Bates;War and travel
Institute Benjamenta;Robert Walser;Science fiction and fantasy
Enemies, a Love Story;Isaac Bashevis Singer;Love
Dombey and Son;Charles Dickens;State of the nation
The Mysterious Affair at Styles;Agatha Christie;Crime
I’ll Go to Bed at Noon;Gerard Woodward;Family and self
The Asphalt Jungle;WR Burnett;Crime
Sidetracked;Henning Mankell;Crime
Flashman;George MacDonald Fraser;War and travel
The Poisoned Chocolates Case;Anthony Berkeley;Crime
The English Patient;Michael Ondaatje;Love
The God of Small Things;Arundhati Roy;Family and self
La Comedie Humaine;Honore de Balzac;State of the nation
The Map of Love;Ahdaf Soueif;Love
Darkmans;Nicola Barker;Science fiction and fantasy
A Passage to India;EM Forster;State of the nation
Pudd’nhead Wilson;Mark Twain;Crime
To Each his Own;Leonardo Sciascia;State of the nation
The Left Hand of Darkness;Ursula Le Guin;Science fiction and fantasy
The Sheltering Sky;Paul Bowles;War and travel
The Insult;Rupert Thomson;Science fiction and fantasy
Ennui;Maria Edgeworth;Comedy
The Last September;Elizabeth Bowen;State of the nation
London Fields;Martin Amis;State of the nation
Toxic Shock;Sara Paretsky;Crime
Less Than Angels;Barbara Pym;Comedy
The Laughing Policeman;Maj Sjowall and Per Wahloo;Crime
Jimmy Corrigan, The Smarest Kid on Earth;Chris Ware;Family and self
Portnoy’s Complaint;Philip Roth;Comedy
Dissolution;CJ Sansom;Crime
The Talented Mr Ripley;Patricia Highsmith;Crime
The Surprising Adventures of Baron Munchausen;Rudolp Erich Raspe;War and travel
Austerlitz;WG Sebald;War and travel
The Mill on the Floss;George Eliot;Love
Brave New World;Aldous Huxley;Science fiction and fantasy
Morvern Callar;Alan Warner;Family and self
The Call of the Wild;Jack London;War and travel
Topper Takes a Trip;Thorne Smith;Comedy
Wise Children;Angela Carter;Family and self
Gilead;Marilynne Robinson;Love
Red Dragon;Thomas Harris;Crime
No Country for Old Men;Cormac McCarthy;Crime
The Prestige;Christopher Priest;Science fiction and fantasy
Solaris;Stanislaw Lem;Science fiction and fantasy
Effi Briest;Theodore Fontane;State of the nation
The Jungle;Upton Sinclair;State of the nation
Manservant and Maidservant;Ivy Compton-Burnett;Family and self
The Lover;Marguerite Duras;Love
The History Man;Malcolm Bradbury;Comedy
Men at Arms;Evelyn Waugh;War and travel
His Dark Materials;Philip Pullman;Science fiction and fantasy
Infinite Jest;David Foster Wallace;Comedy
Tourist Season;Carl Hiaasen;Crime
Vineland;Thomas Pynchon;State of the nation
The Heart is a Lonely Hunter;Carson McCullers;Love
The Swimming-Pool Library;Alan Hollinghurst;Love
Gulliver’s Travels;Jonathan Swift;War and travel
A Rich Full Death;Michael Dibdin;Crime
Day of the Triffids;John Wyndham;Science fiction and fantasy
Epitaph for a Spy;Eric Ambler;Crime
The Counterfeiters;Andre Gide;State of the nation
Life and Fate;Vassily Grossman;War and travel
Enduring Love;Ian McEwan;Crime
American Gods;Neil Gaiman;Science fiction and fantasy
Cover Her Face;PD James;Crime
The Book of Laughter and Forgetting;Milan Kundera;Love
Moll Flanders;Daniel Defoe;State of the nation
Lady Audley’s Secret;Mary E Braddon;Crime
The Harpole Report;JL Carr;Comedy
The Pledge;Friedrich Durrenmatt;Crime
Mr Norris Changes Trains;Christopher Isherwood;Comedy
Malone Dies;Samuel Beckett;Family and self
The Castle of Otranto;Horace Walpole;Science fiction and fantasy
The Wapshot Chronicle;John Cheever;Family and self
The Brothers Karamazov;Fyodor Dostoevsky;Family and self
The Scarlet Pimpernel;Baroness Emmuska Orczy;War and travel
My Name is Red;Orhan Pamuk;Crime
Heavy Weather;PG Wodehouse;Comedy
Middlemarch;George Eliot;State of the nation
Nights at the Circus;Angela Carter;Science fiction and fantasy
Fantomas;Marcel Allain and Pierre Souvestre;Crime
Love Story;Eric Segal;Love
Go Tell it on the Mountain;James Baldwin;State of the nation
Cryptonomicon;Neal Stephenson;War and travel
The Sacred Book of the Werewolf;Victor Pelevin;Comedy
Amongst Women;John McGahern;State of the nation
Millennium People;JG Ballard;Science fiction and fantasy
A Good Man in Africa;William Boyd;Comedy
Tropic of Cancer;Henry Miller;Love
The Third Policeman;Flann O’Brien;Science fiction and fantasy
A House for Mr Biswas;VS Naipaul;Family and self
The Shipping News;E Annie Proulx;Family and self
The Westminster Alice;Saki;Comedy
The Influence;Ramsey Campbell;Science fiction and fantasy
A Heart So White;Javier Marias;Love
Flaubert’s Parrot;Julian Barnes;Comedy
Zami;Audre Lorde;Love
Miss Smilla’s Feeling for Snow;Peter Hoeg;Crime
The Way We Live Now;Anthony Trollope;State of the nation
The Unbearable Bassington;Saki;Comedy
The Neon Rain;James Lee Burke;Crime
The Case of the Gilded Fly;Edmund Crispin;Comedy
Confessions of Zeno;Italo Svevo;Family and self
The Life and Opinions of Tristram Shandy, Gentleman;Laurence Sterne;Comedy
Bonjour Tristesse;Francoise Sagan;Love
Bones and Silence;Reginald Hill;Crime
Sour Sweet;Timothy Mo;Family and self
Emma;Jane Austen;Love
The Tin Drum;Gunter Grass;War and travel
The Garden of the Finzi-Cortinis;Giorgio Bassani;Love
Slouching Towards Kalamazoo;Peter De Vries;Comedy
The Four Just Men;Edgar Wallace;Crime
A Voyage to Arcturus;David Lindsay;Science fiction and fantasy
Whisky Galore;Compton Mackenzie;Comedy
The Gathering;Anne Enright;Family and self
The Ship;CS Forester;War and travel
Absolute Beginners;Colin MacInnes;State of the nation
King Solomon’s Mines;H Rider Haggard;War and travel
The Outsider;Albert Camus;Family and self
A Taste for Death;PD James;Crime
Covenant with Death;John Harris;War and travel
Oscar and Lucinda;Peter Carey;Love
Therese Raquin;Emile Zola;Crime
The Painted Bird;Jerzy Kosinski;War and travel
The Vatican Cellars;Andre Gide;Family and self
The Time Machine;HG Wells;Science fiction and fantasy
First Love;Ivan Turgenev;Love
Decline and Fall;Evelyn Waugh;Comedy
July’s People;Nadine Gordimer;State of the nation
Ali and Nino;Kurban Said;Love
Cat’s Eye;Margaret Atwood;Family and self
Through the Looking Glass and What Alice Found There;Lewis Carroll;Science fiction and fantasy
Deliverance;James Dickey;War and travel
Maus;Art Spiegelman;War and travel
King Solomon’s Carpet;Barbara Vine;Crime
Claudine a l’ecole;Sidonie-Gabrielle Colette;Love
The Big Nowhere;James Ellroy;Crime
Blindness;Jose Saramago;Science fiction and fantasy
A Clockwork Orange;Anthony Burgess;Science fiction and fantasy
The Stars My Destination;Alfred Bester;Science fiction and fantasy
Friday the Rabbi Slept Late;Harry Kemelman;Crime
The Mark of Zorro;Johnston McCulley;War and travel
The Idiot;Fyodor Dostoevsky;State of the nation
Foucault’s Pendulum;Umberto Eco;Science fiction and fantasy
One Flew Over the Cuckoo’s Nest;Ken Kesey;Family and self
I Capture the Castle;Dodie Smith;Love
Their Eyes Were Watching God;Zora Neale Hurston;Love
The Corrections;Jonathan Franzen;State of the nation
Devil in a Blue Dress;Walter Mosley;Crime
Tinker, Tailor, Soldier, Spy;John le Carre;Crime
I Am Legend;Richard Matheson;Science fiction and fantasy
Nightmare Abbey;Thomas Love Peacock;Science fiction and fantasy
Neuromancer;William Gibson;Science fiction and fantasy
Tales of the City;Armistead Maupin;Comedy
Camp Concentration;Thomas M Disch;Science fiction and fantasy
Any Human Heart;William Boyd;Family and self
If Not Now, When?;Primo Levi;War and travel
Quarantine;Jim Crace;Family and self
Headlong Hall;Thomas Love Peacock;State of the nation
We;Yevgeny Zamyatin;Science fiction and fantasy
The Man with the Golden Arm;Nelson Algren;Crime
Suite Francaise;Irene Nemirovsky;War and travel
Cop Hater;Ed McBain;Crime
Beauty and Saddness;Yasunari Kawabata;Love
Affinity;Sarah Waters;Science fiction and fantasy
The Baron in the Trees;Italo Calvino;Science fiction and fantasy
The Midwich Cuckoos;John Wyndham;Science fiction and fantasy
Atomised;Michel Houellebecq;Science fiction and fantasy
Dracula;Bram Stoker;Science fiction and fantasy
The Reader;Benhardq Schlink;Love
The Sword in the Stone;TH White;Science fiction and fantasy
Remembering Babylon;David Malouf;State of the nation
The Death of the Heart;Elizabeth Bowen;Love
The Child in Time;Ian McEwan;Love
Native Son;Richard Wright;Crime
Epileptic;David B;Family and self
Tom Jones;Henry Fielding;Comedy
My New York Diary;Julie Doucet;Family and self
In the Country of Last Things;Paul Auster;Science fiction and fantasy
Titmuss Regained;John Mortimer;Comedy
The Kite Runner;Khaled Hosseini;War and travel
Doctor Zhivago;Boris Pasternak;Love
Chronicle in Stone;Ismael Kadare;State of the nation
LA Confidential;James Ellroy;Crime
The Space Merchants;Frederik Pohl and CM Kornbluth;Science fiction and fantasy
Loitering with Intent;Muriel Spark;Comedy
The Way of All Flesh;Samuel Butler;Family and self
The Hunters;James Salter;War and travel
The Sportswriter;Richard Ford;Family and self
Foreign Affairs;Alison Lurie;Love
The Horse’s Mouth;Joyce Cary;Comedy
The Wind-Up Bird Chronicle;Haruki Murakami;Science fiction and fantasy
Z;Vassilis Vassilikos;State of the nation
Journey into Fear;Eric Ambler;Crime
The Postman Always Rings Twice;James M Cain;Crime
Get Shorty;Elmore Leonard;Crime
A Journey to the Centre of the Earth;Jules Verne;War and travel
Hunger;Knut Hamsun;Family and self
Remembrance of Things Past;Marcel Proust;Family and self
The Go-Between;LP Hartley;Love
The Rector’s Daughter;FM Mayor;Family and self
Little Women;Louisa May Alcott;Family and self
Crime and Punishment;Fyodor Dostoevsky;Crime
Delta of Venus;Anais Nin;Love
Piccadilly Jim;PG Wodehouse;Comedy
Under the Volcano;Malcolm Lowry;Family and self
Howards End;EM Forster;Family and self
The Godfather;Mario Puzo;Crime
The Time Ships;Stephen Baxter;Science fiction and fantasy
The Famished Road;Ben Okri;Science fiction and fantasy
Under Western Eyes;Joseph Conrad;Crime
The Pursuit of Love;Nancy Mitford;Love
White Teeth;Zadie Smith;State of the nation
The Group;Mary McCarthy;State of the nation
According to Queeney;Beryl Bainbridge;Comedy
Goodbye to Berlin;Christopher Isherwood;State of the nation
The Tortoise and the Hare;Elizabeth Jenkins;Family and self
Titus Groan;Mervyn Peake;Science fiction and fantasy
Consider Phlebas;Iain M Banks;Science fiction and fantasy
The Unconsoled;Kazuo Ishiguro;Science fiction and fantasy
War and Peace;Leo Tolstoy;War and travel
Beyond Black;Hilary Mantel;Science fiction and fantasy
Sybil or The Two Nations;Benjamin Disraeli;State of the nation
Passing;Nella Larsen;State of the nation
Sunset Song;Lewis Grassic Gibbon;Love
Les Enfants Terrible;Jean Cocteau;Family and self
The Female Man;Joanna Russ;Science fiction and fantasy
The Shrimp and the Anemone;LP Hartley;Family and self
The Passion of New Eve;Angela Carter;Science fiction and fantasy
The Things They Carried;Tim O’Brien;War and travel
Gargantua and Pantagruel;Francois Rabelais;Science fiction and fantasy
Sense and Sensibility;Jane Austen;Love
Girlfriend in a Coma;Douglas Coupland;Science fiction and fantasy
A Handful of Dust;Evelyn Waugh;Comedy
England, Their England;AG Macdonell;Comedy
The Constant Gardener;John le Carre;Crime
The Reluctant Orphan;Aara Seale;Love
Underworld;Don DeLillo;State of the nation
A Confederacy of Dunces;John Kennedy Toole;Comedy
The Infamous Army;Georgette Heyer;Love
Uncle Tom’s Cabin;Harriet Beecher Stowe;State of the nation
The Red and the Black;Stendhal;State of the nation
Untouchable;Mulk Raj Anand;State of the nation
The End of the Affair;Graham Greene;Love
Lost Souls;Poppy Z Brite;Science fiction and fantasy
We Need to Talk About Kevin;Lionel Shriver;Family and self
Everything is Illuminated;Jonathon Safran Foer;War and travel
The End of the World News;Anthony Burgess;Science fiction and fantasy
The Coming Race;EGEL Bulwer-Lytton;Science fiction and fantasy
The Family Moskat or The Manor or The Estate;Isaac Bashevis Singer;Family and self
Rasselas;Samuel Johnson;War and travel
A Study in Scarlet;Arthur Conan Doyle;Crime
The Unfortunates;BS Johnson;Family and self
Kim;Rudyard Kipling;Crime
The Count of Monte Cristo;Alexandre Dumas;Crime
Alms for Oblivion;Simon Raven;Comedy
Gentlemen Prefer Blondes;Anita Loos;Love
The Mighty Walzer Howard;Jacobson;Comedy
The Accidental Tourist;Anne Tyler;Love
Barchester Towers;Anthony Trollope;Comedy
Narziss and Goldmund;Hermann Hesse;Family and self
The Daughter of Time;Josephine Tey;Crime
The Forever War;Joe Haldeman;Science fiction and fantasy
Exit Music;Ian Rankin;Crime
Les Miserables;Victor Hugo;State of the nation
Molloy;Samuel Beckett;Comedy
Casino Royale;Ian Fleming;Crime
The Echoing Grove;Rosamond Lehmann;Love
The Ambassadors;Henry James;Family and self
Castle Rackrent;Maria Edgeworth;State of the nation
Invitation to the Waltz;Rosamond Lehmann;Family and self
My Search for Warren Harding;Robert Plunkett;Comedy
A Sport and a Passtime;James Salter;Love
The Snow Goose;Paul Gallico;Love
The Virgin in the Garden;AS Byatt;State of the nation
The Three Paradoxes;Paul Hornschemeier;Family and self
Hangover Square;Patrick Hamilton;Crime
Goldfinger;Ian Fleming;Crime
Of Human Bondage;Somerset Maugham;Love
Song of Solomon;Toni Morrison;Family and self
Nineteen Seventy Four;David Peace;Crime
Evelina;Fanny Burney;Family and self
Heart of Darkness;Joseph Conrad;War and travel
The Prime of Miss Jean Brodie;Muriel Spark;Comedy
Melmoth the Wanderer;Charles Maturin;Science fiction and fantasy
Ratking;Michael Dibdin;Crime
A Girl in Winter;Philip Larkin;State of the nation
Dead Lagoon;Michael Dibdin;Crime
Dolores Claiborne;Stephen King;Crime
Far From the Madding Crowd;Thomas Hardy;Love
The Piano Teacher;Elfriede Jelinek;Love
The Secret Diary of Adrian Mole, Aged 13 3/4;Sue Townsend;Family and self
This Sporting Life;David Storey;State of the nation
The Odd Women;George Gissing;State of the nation
The Big Sleep;Raymond Chandler;Crime
G;John Berger;Family and self
The Witches of Eastwick;John Updike;Comedy
Vathek;William Beckford;Science fiction and fantasy
The Rabbit Omnibus;John Updike;Family and self
A Sentimental Journey;Lawrence Sterne;War and travel
The Well of Loneliness;Radclyffe Hall;Love
Gone With the Wind;Margaret Mitchell;Love
Herzog;Saul Bellow;Family and self
The Mayor of Casterbridge;Thomas Hardy;State of the nation
The Monk;Matthew Lewis;Science fiction and fantasy
The Castafiore Emerald;Georges Remi Herge;War and travel
A Kind of Loving;Stan Barstow;State of the nation
A Gun for Sale;Graham Greene;Crime
How the Dead Live;Will Self;Science fiction and fantasy
Rebecca;Daphne du Maurier;Love
The Spy Who Came in from the Cold;John le Carre;Crime
The Bell Jar;Sylvia Plath;Family and self
The Pickwick Papers;Charles Dickens;Comedy
The Lord of the Rings;JRR Tolkien;Science fiction and fantasy
Silence;Shusaku Endo;Family and self
Fingersmith;Sarah Waters;Crime
The Uncommon Reader;Alan Bennett;Comedy
The Provincial Lady;EM Delafield;Comedy
The Commitments;Roddy Doyle;Comedy
After London or, Wild England;Richard Jefferies;Science fiction and fantasy
The Magnificent Ambersons;Booth Tarkington;Family and self
Darkness at Noon;Arthur Koestler;War and travel
Buddenbrooks;Thomas Mann;Family and self
The Victorian Chaise-longue;Marghanita Laski;Science fiction and fantasy
Towards the End of the Morning;Michael Frayn;Comedy
A Long Long Way;Sebastian Barry;War and travel
The Handmaid’s Tale;Margaret Atwood;Science fiction and fantasy
The Thin Man;Dashiell Hammett;Crime
The Fortunes of Richard Mahoney;Henry Handel Richardson;Family and self
Wide Sargasso Sea;Jean Rhys;Love
Whose Body?;Dorothy L Sayers;Crime
Count Belisarius;Robert Graves;War and travel
The Good Soldier;Ford Madox Ford;Love
Black Beauty;Anna Sewell;War and travel
The Expedition of Humphry Clinker;Tobias Smollett;Comedy
The Night Sessions;Ken Macleod;Science fiction and fantasy
The Human Stain;Philip Roth;State of the nation
Lolita, or the Confessions of a White Widowed Male;Vladimir Nabokov;Love
Ivanhoe;Sir Walter Scott;War and travel
The Death of Virgil;Hermann Broch;Family and self
The Chateau;William Maxwell;Family and self
Samarkand;Amin Maalouf;Love
The Sorrows of Young Werther;Johann Wolfgang Goethe;Love
La Disparition;Georges Perec;Comedy
Under the Net;Iris Murdoch;Comedy
Mansfield Park;Jane Austen;Love
The Murder at the Vicarage;Agatha Christie;Crime
When the Wind Blows;Raymond Briggs;War and travel
An Ice-Cream War;William Boyd;War and travel
The Children of the New Forest;Frederick Marryat;War and travel
A Time to be Born;Dawn Powell;Comedy
The Old Wives’ Tale;Arnold Bennett;Family and self
The Virginian;Owen Wister;War and travel
Hideous Kinky;Esther Freud;Family and self
My Name Is Asher Lev;Chaim Potok;Family and self
Carrie’s War;Nina Bawden;War and travel
Love for Lydia;HE Bates;Love
Oliver Twist;Charles Dickens;State of the nation
The Home and the World;Rabindranath Tagore;State of the nation
Riddley Walker;Russell Hoban;Science fiction and fantasy
Extinction;Thomas Bernhard;Family and self
La Condition Humaine;Andre Malraux;War and travel
Manon Lescaut;Abbe Prevost;Love
The Weather in the Streets;Rosamond Lehmann;Love
Death in Venice;Thomas Mann;Love
Invisible Cities;Italo Calvino;War and travel
Tono Bungay;HG Wells;Comedy
The Color Purple;Alice Walker;Family and self
Vilette;Charlotte Bronte;Love
Giovanni’s Room;James Baldwin;Love
Strangers on a Train;Patricia Highsmith;Crime
Crash;JG Ballard;Science fiction and fantasy
The Secret Agent;Joseph Conrad;Crime
Birdsong;Sebastian Faulks;War and travel
Women in Love;DH Lawrence;Love
The Line of Beauty;Alan Hollinghurst;State of the nation
Ringworld;Larry Niven;Science fiction and fantasy
Diary of a Mad Old Man;Junichiro Tanizaki;Love
Lanark;Alastair Gray;State of the nation
Star Maker;Olaf Stapledon;Science fiction and fantasy
Anna Karenina;Leo Tolstoy;Love
Vanity Fair;William Makepeace Thackeray;State of the nation
Monkey;Wu Ch’eng-en;War and travel
Weaveworld;Clive Barker;Science fiction and fantasy
The Adventures of Peregrine Pickle;Tobias Smollett;Comedy
Nineteen Eighty-Four;George Orwell;Science fiction and fantasy
The Blue Room;Georges Simenon;Crime
Memet my Hawk;Yasar Kemal;Family and self
Steppenwolf;Herman Hesse;Family and self
Judgment in Stone;Ruth Rendell;Crime
Hard Times;Charles Dickens;State of the nation
The Riddle of the Sands;Erskine Childers;Crime
Wuthering Heights;Emily Bronte;Love
The Magic Mountain;Thomas Mann;State of the nation
Frankenstein;Mary Shelley;Science fiction and fantasy
Light;M John Harrison;Science fiction and fantasy
For Whom the Bell Tolls;Ernest Hemingway;War and travel
Moby-Dick or, The Whale;Herman Melville;War and travel
The Transit of Venus;Shirley Hazzard;Love
The Adventures of Roderick Random;Tobias Smollett;Comedy
